0.6000,1.3031,0.8273,0.1494
0.8000,0.6581,1.5235,0.8229
0.6000,0.4891,0.6652,0.1172
0.0000,1.2810,2.0473,0.5992
0.6000,1.2912,0.4685,0.5708
0.0000,1.2309,1.7633,0.2767
0.6000,0.8865,0.7633,0.9838
0.0000,0.5913,1.7583,0.7433
0.4000,1.6914,0.8016,0.5058
0.0000,0.9132,1.7692,0.0779
0.6000,0.9722,0.8112,0.4099
0.2000,0.8830,1.6856,0.8919
0.0000,1.1039,0.7101,0.8527
0.6000,0.8567,1.7942,0.0704
0.8000,1.2750,0.6166,0.2602
0.6000,1.2020,1.7542,0.9626
0.6000,1.1949,0.6356,0.9427
0.6000,0.9318,1.6424,0.6700
0.4000,0.6287,0.9038,0.8923
0.6000,1.2211,1.7892,0.1188
0.6000,0.9644,0.7968,0.0762
0.4000,1.1808,1.7288,0.4867
0.6000,0.7511,0.7764,0.9471
0.4000,0.7313,1.6641,0.9377
0.8000,0.9223,0.7566,0.3681
0.2000,1.4114,1.7977,0.6100
0.0000,1.2483,0.7863,0.7709
0.2000,1.2291,1.9089,0.9881
0.8000,1.0886,0.4963,0.3184
0.8000,0.6330,1.8248,0.7493
0.8000,1.2536,0.7788,0.6021
0.4000,0.9715,1.7525,0.1876
0.0000,0.9534,0.6663,0.9963
0.8000,0.7128,1.7234,0.9148
0.6000,1.1234,0.7582,0.4749
0.8000,1.1926,1.8288,0.2811
0.8000,0.7784,0.6704,0.4425
0.2000,0.8782,1.6365,0.9667
0.0000,1.2710,0.7892,0.7517
0.6000,0.9995,1.7691,0.7689
0.6000,0.9923,0.6863,0.1520
0.6000,1.1233,1.6462,0.4489
0.6000,0.8018,0.5847,0.3482
0.2000,1.1334,1.9725,0.4718
0.6000,1.1813,0.7022,0.2557
0.8000,0.4950,1.8003,0.2651
0.6000,1.1430,0.8529,0.5375
0.2000,1.0101,1.6718,0.5976
0.8000,0.7416,0.6318,0.9749
0.8000,1.4457,1.5952,0.5858
